"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "TypeScript", "Less", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\layout.module.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 2, 6, 67
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\passport\passport.component.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\passport\passport.component.less", "Less", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 18, 113
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\passport\passport.component.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 4, 11, 91
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
